start,stop,most_anomalous_start,scores,control_scores,cluster,label
2022-09-11T00:15:39.370000Z,2022-09-11T00:22:19.370000Z,2022-09-11T00:15:39.370000Z,0.6061578528882129,0.5595583730802413,1,
2022-09-25T10:55:10.350000Z,2022-09-25T11:01:50.350000Z,2022-09-25T10:55:10.350000Z,0.6059263433265818,0.4986725971184286,1,
2023-09-24T11:38:20.000000Z,2023-09-24T11:43:20.000000Z,2023-09-24T11:38:20.000000Z,0.6058465558946862,0.4224350349213921,1,
2023-10-15T14:00:50.000000Z,2023-10-15T14:07:30.000000Z,2023-10-15T14:00:50.000000Z,0.6058388328014195,0.5207407110985479,1,
2022-09-26T00:13:15.395000Z,2022-09-26T00:17:25.395000Z,2022-09-26T00:13:15.395000Z,0.6056923689315132,0.5217274135182317,1,
2022-10-18T16:53:15.350000Z,2022-10-18T16:57:25.350000Z,2022-10-18T16:53:15.350000Z,0.6056540779525426,0.5821009885844068,1,
2022-09-25T23:30:07.420000Z,2022-09-25T23:33:27.420000Z,2022-09-25T23:30:07.420000Z,0.6055073480984133,0.5394012674148243,1,
2023-10-01T10:55:00.390000Z,2023-10-01T11:00:50.390000Z,2023-10-01T10:55:00.390000Z,0.6052955836826961,0.4230181616863446,1,
2023-09-24T12:13:20.000000Z,2023-09-24T12:15:50.000000Z,2023-09-24T12:13:20.000000Z,0.6052490120071692,0.4251358507785552,1,
2023-10-12T03:04:10.000000Z,2023-10-12T03:09:10.000000Z,2023-10-12T03:05:00.000000Z,0.605136672243994,0.4207639475765894,1,
2023-03-04T07:02:30.000000Z,2023-03-04T07:05:00.000000Z,2023-03-04T07:02:30.000000Z,0.6045412521566021,0.606067370249836,1,
2023-09-23T19:34:10.000000Z,2023-09-23T19:38:20.000000Z,2023-09-23T19:34:10.000000Z,0.6044678520031921,0.4228816350929958,1,
2023-10-13T14:20:50.000000Z,2023-10-13T14:23:20.000000Z,2023-10-13T14:20:50.000000Z,0.6044605631737967,0.5348902094284244,1,
2023-09-21T20:24:15.410000Z,2023-09-21T20:29:15.410000Z,2023-09-21T20:24:15.410000Z,0.6043325621660959,0.3792464195922194,1,
2022-12-08T15:29:30.390000Z,2022-12-08T15:32:00.390000Z,2022-12-08T15:29:30.390000Z,0.6042775708113197,0.480787895365121,1,
2022-09-26T01:19:37.370000Z,2022-09-26T01:23:47.370000Z,2022-09-26T01:19:37.370000Z,0.6042227776453852,0.5083000926934984,1,
2023-09-24T07:54:10.000000Z,2023-09-24T07:59:10.000000Z,2023-09-24T07:54:10.000000Z,0.6041713209458005,0.4306209046133363,1,
2022-09-26T03:35:29.375000Z,2022-09-26T03:37:09.375000Z,2022-09-26T03:35:29.375000Z,0.6041435014441799,0.4804149240512376,1,N
2022-12-24T18:39:10.000000Z,2022-12-24T18:43:20.000000Z,2022-12-24T18:39:10.000000Z,0.6040854417270384,0.5776548464919917,1,
2022-09-26T02:42:46.405000Z,2022-09-26T02:45:16.405000Z,2022-09-26T02:42:46.405000Z,0.6036729640431686,0.4897957576007115,1,N
