,Unnamed: 0,station,channel,start,stop,confidence,Notes
246,246,ILL14,EHZ,2021-05-23 00:17:57+00:00,2021-05-23 00:21:17+00:00,low,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
247,247,ILL14,EHZ,2021-05-23 01:04:37+00:00,2021-05-23 01:11:17+00:00,low,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
248,248,ILL18,EHZ,2021-05-28 09:09:39+00:00,2021-05-28 10:01:18+00:00,low,"Possibly activity in the upper catchment, no debris flow made it to the Rhone Vally."
249,249,ILL18,EHZ,2021-06-02 06:54:49+00:00,2021-06-02 07:35:36+00:00,low,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
250,250,ILL17,EHZ,2021-06-04 22:19:08+00:00,2021-06-04 23:01:38+00:00,low,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
251,251,ILL18,EHZ,2021-06-04 22:41:50+00:00,2021-06-04 23:05:10+00:00,low,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
252,252,ILL11,HHZ,2021-06-05 09:39:00+00:00,2021-06-05 11:52:00+00:00,high,
253,253,ILL13,EHZ,2021-06-05 09:32:00+00:00,2021-06-05 11:48:00+00:00,high,
254,254,ILL14,EHZ,2021-06-05 07:37:00+00:00,2021-06-05 10:17:00+00:00,high,
255,255,ILL17,EHZ,2021-06-05 08:17:00+00:00,2021-06-05 10:45:00+00:00,high,
256,256,ILL18,EHZ,2021-06-05 08:15:00+00:00,2021-06-05 11:22:00+00:00,high,
257,257,ILL17,EHZ,2021-06-08 15:53:18+00:00,2021-06-08 16:02:28+00:00,low,"Possibly activity in the upper catchment, no debris flow made it to the Rhone Vally."
258,258,ILL16,EHZ,2021-06-22 16:06:51+00:00,2021-06-22 16:15:11+00:00,low,"Likely activity in the upper catchment, but debris flow made it to the Rhone Vally only hours later."
259,259,ILL17,EHZ,2021-06-22 16:08:18+00:00,2021-06-22 16:19:58+00:00,low,"Likely activity in the upper catchment, but debris flow made it to the Rhone Vally only hours later."
260,260,ILL11,HHZ,2021-06-22 20:07:21+00:00,2021-06-22 21:39:51+00:00,high,Not in WSL Observatory.
261,261,ILL12,EHZ,2021-06-22 19:55:17+00:00,2021-06-22 20:46:07+00:00,high,Not in WSL Observatory.
262,262,ILL13,EHZ,2021-06-22 20:01:26+00:00,2021-06-22 21:09:46+00:00,high,Not in WSL Observatory.
263,263,ILL14,EHZ,2021-06-22 19:40:00+00:00,2021-06-22 20:23:00+00:00,high,Not in WSL Observatory.
264,264,ILL15,EHZ,2021-06-22 19:40:00+00:00,2021-06-22 20:23:00+00:00,high,Not in WSL Observatory.
265,265,ILL16,EHZ,2021-06-22 19:41:00+00:00,2021-06-22 20:16:01+00:00,high,Not in WSL Observatory.
