,station,start,stop,confidence
54,ILL04,2017-06-03 23:14:00+00:00,2017-06-04 00:00:00+00:00,1
55,ILL05,2017-06-03 23:12:00+00:00,2017-06-04 00:01:00+00:00,1
56,ILL05,2017-06-03 23:15:00+00:00,2017-06-03 23:53:00+00:00,1
57,ILL06,2017-06-03 23:06:00+00:00,2017-06-03 23:54:00+00:00,1
58,ILL06,2017-06-03 23:17:00+00:00,2017-06-03 23:41:00+00:00,1
59,ILL07,2017-06-03 23:10:00+00:00,2017-06-04 00:03:00+00:00,1
60,ILL07,2017-06-03 23:18:00+00:00,2017-06-03 23:46:00+00:00,1
61,ILL07,2017-06-14 19:23:00+00:00,2017-06-14 20:03:00+00:00,1
62,ILL08,2017-05-19 04:20:00+00:00,2017-05-19 17:24:00+00:00,0.5
63,ILL08,2017-05-19 11:20:00+00:00,2017-05-19 13:14:00+00:00,1
64,ILL08,2017-05-29 16:49:00+00:00,2017-05-29 17:43:00+00:00,1
65,ILL08,2017-06-03 23:15:00+00:00,2017-06-04 00:16:00+00:00,1
66,ILL08,2017-06-03 23:18:00+00:00,2017-06-03 23:48:00+00:00,1
67,ILL11,2018-06-11 04:20:00+00:00,2018-06-11 15:27:00+00:00,1
68,ILL11,2018-06-12 19:05:00+00:00,2018-06-12 20:16:00+00:00,1
69,ILL11,2018-07-25 17:01:00+00:00,2018-07-25 17:39:00+00:00,1
70,ILL11,2018-08-08 17:56:00+00:00,2018-08-08 18:21:00+00:00,1
71,ILL11,2019-06-10 17:45:00+00:00,2019-06-10 19:04:00+00:00,1
72,ILL11,2019-06-10 22:19:00+00:00,2019-06-11 00:00:00+00:00,1
73,ILL11,2019-06-21 19:39:00+00:00,2019-06-21 20:40:00+00:00,1
74,ILL11,2019-07-01 17:33:00+00:00,2019-07-01 17:34:00+00:00,earthquake
75,ILL11,2019-07-01 23:23:00+00:00,2019-07-02 00:26:00+00:00,1
76,ILL11,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
77,ILL11,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
78,ILL11,2019-07-02 22:38:00+00:00,2019-07-02 23:28:00+00:00,1
79,ILL11,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
80,ILL11,2019-07-15 04:11:00+00:00,2019-07-15 04:54:00+00:00,1
81,ILL11,2019-07-26 17:44:00+00:00,2019-07-26 18:36:00+00:00,1
82,ILL11,2019-08-11 17:05:00+00:00,2019-08-11 18:15:00+00:00,1
83,ILL11,2019-08-20 16:53:00+00:00,2019-08-20 17:49:00+00:00,1
84,ILL11,2020-06-04 15:27:00+00:00,2020-06-04 17:23:00+00:00,1
85,ILL11,2020-06-08 17:18:00+00:00,2020-06-08 19:07:00+00:00,1
86,ILL11,2020-06-17 03:45:00+00:00,2020-06-17 06:11:00+00:00,1
87,ILL11,2020-06-29 05:14:00+00:00,2020-06-29 06:13:00+00:00,1
88,ILL11,2020-08-16 22:02:00+00:00,2020-08-16 23:56:00+00:00,1
89,ILL11,2020-08-30 05:44:00+00:00,2020-08-30 07:23:00+00:00,1
90,ILL11,2020-08-30 08:00:00+00:00,2020-08-30 08:52:00+00:00,1
91,ILL11,2021-05-11 04:02:00+00:00,2021-05-11 14:07:00+00:00,0.5
92,ILL11,2021-05-11 14:09:00+00:00,2021-05-11 16:40:00+00:00,1
93,ILL11,2021-05-12 03:58:00+00:00,2021-05-12 09:38:00+00:00,0.1
94,ILL11,2021-05-16 16:21:00+00:00,2021-05-16 20:30:00+00:00,1
95,ILL11,2021-05-21 23:11:00+00:00,2021-05-22 00:25:00+00:00,1
96,ILL11,2021-06-05 09:39:00+00:00,2021-06-05 11:52:00+00:00,1
97,ILL11,2021-06-24 15:21:00+00:00,2021-06-24 16:25:00+00:00,1
98,ILL11,2021-07-06 18:55:00+00:00,2021-07-06 19:48:00+00:00,1
99,ILL11,2021-07-13 06:35:00+00:00,2021-07-13 09:50:00+00:00,1
100,ILL11,2021-07-13 16:19:00+00:00,2021-07-13 18:34:00+00:00,1
101,ILL11,2021-07-16 03:58:00+00:00,2021-07-16 05:03:00+00:00,1
102,ILL11,2021-08-07 14:32:00+00:00,2021-08-07 15:53:00+00:00,1
103,ILL11,2021-09-19 06:38:00+00:00,2021-09-19 07:51:00+00:00,1
104,ILL11,2021-09-19 09:03:00+00:00,2021-09-19 10:45:00+00:00,0.5
105,ILL12,2018-06-11 04:28:00+00:00,2018-06-11 15:48:00+00:00,1
106,ILL12,2018-06-12 18:06:00+00:00,2018-06-12 20:23:00+00:00,1
107,ILL12,2018-07-25 16:51:00+00:00,2018-07-25 17:32:00+00:00,1
108,ILL12,2018-08-08 17:46:00+00:00,2018-08-08 18:10:00+00:00,1
109,ILL12,2019-06-10 17:16:00+00:00,2019-06-10 18:55:00+00:00,1
110,ILL12,2019-06-10 21:59:00+00:00,2019-06-10 23:22:00+00:00,1
111,ILL12,2019-06-21 19:31:00+00:00,2019-06-21 20:36:00+00:00,1
112,ILL12,2019-07-01 06:56:00+00:00,2019-07-01 10:04:00+00:00,quarrywork
113,ILL12,2019-07-01 10:51:00+00:00,2019-07-01 14:48:00+00:00,quarrywork
114,ILL12,2019-07-01 17:33:00+00:00,2019-07-01 17:33:00+00:00,earthquake
115,ILL12,2019-07-01 23:10:00+00:00,2019-07-02 00:19:00+00:00,1
116,ILL12,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
117,ILL12,2019-07-02 04:40:00+00:00,2019-07-02 09:57:00+00:00,quarrywork
118,ILL12,2019-07-02 05:33:00+00:00,2019-07-02 10:01:00+00:00,quarrywork
119,ILL12,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
120,ILL12,2019-07-02 10:32:00+00:00,2019-07-02 14:41:00+00:00,quarrywork
121,ILL12,2019-07-02 10:54:00+00:00,2019-07-02 14:39:00+00:00,quarrywork
122,ILL12,2019-07-02 22:10:00+00:00,2019-07-02 22:40:00+00:00,1
123,ILL12,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
124,ILL12,2019-07-15 03:40:00+00:00,2019-07-15 04:15:00+00:00,1
125,ILL12,2019-07-26 17:33:00+00:00,2019-07-26 18:32:00+00:00,1
126,ILL12,2019-08-11 16:54:00+00:00,2019-08-11 17:45:00+00:00,1
127,ILL12,2019-08-20 16:41:00+00:00,2019-08-20 17:24:00+00:00,1
128,ILL12,2020-06-04 15:09:00+00:00,2020-06-04 17:11:00+00:00,1
129,ILL12,2020-06-08 16:47:00+00:00,2020-06-08 18:17:00+00:00,1
130,ILL12,2020-06-17 03:18:00+00:00,2020-06-17 05:34:00+00:00,1
131,ILL12,2020-06-29 04:55:00+00:00,2020-06-29 05:30:00+00:00,1
132,ILL12,2020-08-16 21:29:00+00:00,2020-08-16 22:32:00+00:00,1
133,ILL12,2020-08-30 05:18:00+00:00,2020-08-30 07:07:00+00:00,1
134,ILL12,2020-08-30 07:48:00+00:00,2020-08-30 08:39:00+00:00,1
135,ILL12,2021-06-24 15:18:00+00:00,2021-06-24 16:08:00+00:00,1
136,ILL12,2021-07-06 18:48:00+00:00,2021-07-06 19:27:00+00:00,1
137,ILL12,2021-07-13 05:45:00+00:00,2021-07-13 07:45:00+00:00,1
138,ILL12,2021-07-13 16:01:00+00:00,2021-07-13 18:02:00+00:00,1
139,ILL12,2021-07-16 03:43:00+00:00,2021-07-16 04:54:00+00:00,1
140,ILL12,2021-09-19 06:23:00+00:00,2021-09-19 07:28:00+00:00,1
141,ILL12,2021-09-19 08:39:00+00:00,2021-09-19 10:25:00+00:00,0.5
142,ILL13,2018-06-11 03:06:00+00:00,2018-06-11 15:42:00+00:00,1
143,ILL13,2018-07-25 16:53:00+00:00,2018-07-25 17:41:00+00:00,1
144,ILL13,2018-08-08 17:49:00+00:00,2018-08-08 18:20:00+00:00,1
145,ILL13,2019-06-10 17:32:00+00:00,2019-06-10 19:10:00+00:00,1
146,ILL13,2019-06-10 22:05:00+00:00,2019-06-11 00:17:00+00:00,1
147,ILL13,2019-06-21 19:31:00+00:00,2019-06-21 20:40:00+00:00,1
148,ILL13,2019-07-01 17:33:00+00:00,2019-07-01 17:33:00+00:00,earthquake
149,ILL13,2019-07-01 23:19:00+00:00,2019-07-02 00:26:00+00:00,1
150,ILL13,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
151,ILL13,2019-07-02 05:39:00+00:00,2019-07-02 09:59:00+00:00,quarrywork
152,ILL13,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
153,ILL13,2019-07-02 10:38:00+00:00,2019-07-02 14:39:00+00:00,quarrywork
154,ILL13,2019-07-02 22:18:00+00:00,2019-07-02 23:11:00+00:00,1
155,ILL13,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
156,ILL13,2019-07-15 03:52:00+00:00,2019-07-15 04:43:00+00:00,1
157,ILL13,2019-07-26 17:35:00+00:00,2019-07-26 18:41:00+00:00,1
158,ILL13,2019-08-11 16:59:00+00:00,2019-08-11 18:13:00+00:00,1
159,ILL13,2019-08-20 16:39:00+00:00,2019-08-20 17:40:00+00:00,1
160,ILL13,2020-06-04 15:13:00+00:00,2020-06-04 17:12:00+00:00,1
161,ILL13,2020-06-08 17:03:00+00:00,2020-06-08 18:42:00+00:00,1
162,ILL13,2020-06-17 03:40:00+00:00,2020-06-17 07:00:00+00:00,1
163,ILL13,2020-06-29 05:13:00+00:00,2020-06-29 06:08:00+00:00,1
164,ILL13,2020-08-16 21:37:00+00:00,2020-08-16 23:10:00+00:00,1
165,ILL13,2020-08-30 05:30:00+00:00,2020-08-30 07:25:00+00:00,1
166,ILL13,2020-08-30 07:53:00+00:00,2020-08-30 09:01:00+00:00,1
167,ILL13,2021-05-11 03:25:00+00:00,2021-05-11 13:52:00+00:00,0.5
168,ILL13,2021-05-11 14:09:00+00:00,2021-05-11 16:38:00+00:00,1
169,ILL13,2021-05-12 02:59:00+00:00,2021-05-12 09:34:00+00:00,0.1
170,ILL13,2021-05-16 16:15:00+00:00,2021-05-16 20:10:00+00:00,1
171,ILL13,2021-05-21 22:49:00+00:00,2021-05-22 00:28:00+00:00,1
172,ILL13,2021-06-05 09:32:00+00:00,2021-06-05 11:48:00+00:00,1
173,ILL13,2021-06-24 15:15:00+00:00,2021-06-24 16:22:00+00:00,1
174,ILL13,2021-07-06 18:52:00+00:00,2021-07-06 19:37:00+00:00,1
175,ILL13,2021-07-13 06:31:00+00:00,2021-07-13 08:51:00+00:00,1
