,station,channel,start,stop,confidence,Notes
58,ILL12,EHZ,2019-06-21 19:31:00+00:00,2019-06-21 20:36:00+00:00,high,
59,ILL13,EHZ,2019-06-21 19:31:00+00:00,2019-06-21 20:40:00+00:00,high,
60,ILL14,EHZ,2019-06-21 19:26:00+00:00,2019-06-21 20:11:00+00:00,high,
61,ILL16,EHZ,2019-06-21 19:26:00+00:00,2019-06-21 19:53:00+00:00,high,
62,ILL17,EHZ,2019-06-21 19:26:00+00:00,2019-06-21 20:16:00+00:00,high,
63,ILL18,EHZ,2019-06-21 19:28:00+00:00,2019-06-21 20:18:00+00:00,high,
64,ILL11,HHZ,2019-07-01 23:23:00+00:00,2019-07-02 00:26:00+00:00,high,
65,ILL12,EHZ,2019-07-01 23:10:00+00:00,2019-07-02 00:19:00+00:00,high,
66,ILL13,EHZ,2019-07-01 23:19:00+00:00,2019-07-02 00:26:00+00:00,high,
67,ILL14,EHZ,2019-07-01 22:53:00+00:00,2019-07-02 00:10:00+00:00,high,
68,ILL16,EHZ,2019-07-01 23:09:00+00:00,2019-07-02 00:08:00+00:00,high,
69,ILL17,EHZ,2019-07-01 22:54:00+00:00,2019-07-02 00:07:00+00:00,high,
70,ILL18,EHZ,2019-07-01 22:53:00+00:00,2019-07-01 23:59:00+00:00,high,
71,ILL11,HHZ,2019-07-02 22:28:20+00:00,2019-07-02 22:33:20+00:00,low,Pre debris-flow signal - Water discharge.  Interesting signal at 23:14 ~ Local/Regional earthquake at Sion magnitude 2.0
72,ILL11,HHZ,2019-07-02 22:38:00+00:00,2019-07-02 23:28:00+00:00,high,
73,ILL12,EHZ,2019-07-02 22:10:00+00:00,2019-07-02 22:40:00+00:00,high,
74,ILL13,EHZ,2019-07-02 22:18:00+00:00,2019-07-02 23:11:00+00:00,high,
75,ILL14,EHZ,2019-07-02 22:08:00+00:00,2019-07-02 22:45:00+00:00,high,
76,ILL16,EHZ,2019-07-02 21:57:00+00:00,2019-07-02 22:23:00+00:00,high,
77,ILL17,EHZ,2019-07-02 22:00:00+00:00,2019-07-02 22:29:00+00:00,high,
78,ILL18,EHZ,2019-07-02 22:00:00+00:00,2019-07-02 22:33:00+00:00,high,
79,ILL18,EHZ,2019-07-03 16:25:00+00:00,2019-07-03 17:15:00+00:00,med,
80,ILL16,EHZ,2019-07-03 16:23:00+00:00,2019-07-03 16:30:00+00:00,low,
81,ILL17,EHZ,2019-07-03 16:25:00+00:00,2019-07-03 16:40:00+00:00,med,
82,ILL13,EHZ,2019-07-03 17:30:00+00:00,2019-07-03 17:50:00+00:00,med,
