,station,channel,start,stop,confidence,Notes
86,ILL18,EHZ,2019-07-15T03:29:00.000000Z,2019-07-15T03:58:00.000000Z,high,
87,ILL16,EHZ,2019-07-15T03:29:00.000000Z,2019-07-15T03:52:00.000000Z,med,
88,ILL15,EHZ,2019-07-15T03:29:00.000000Z,2019-07-15T03:51:00.000000Z,med,
89,ILL17,EHZ,2019-07-15T03:29:00.000000Z,2019-07-15T03:55:00.000000Z,med,
90,ILL14,EHZ,2019-07-15T03:30:00.000000Z,2019-07-15T04:09:00.000000Z,med,
91,ILL12,EHZ,2019-07-15T03:40:00.000000Z,2019-07-15T04:15:00.000000Z,high,
92,ILL13,EHZ,2019-07-15T03:52:00.000000Z,2019-07-15T04:43:00.000000Z,high,
93,ILL11,HHZ,2019-07-15T04:07:30.000000Z,2019-07-15T04:54:00.000000Z,high,
94,ILL18,EHZ,2019-07-26T17:25:00.000000Z,2019-07-26T18:10:00.000000Z,high,
95,ILL14,EHZ,2019-07-26T17:26:00.000000Z,2019-07-26T18:07:00.000000Z,high,
96,ILL15,EHZ,2019-07-26T17:26:00.000000Z,2019-07-26T18:15:00.000000Z,med,
97,ILL16,EHZ,2019-07-26T17:26:00.000000Z,2019-07-26T18:11:00.000000Z,high,
98,ILL17,EHZ,2019-07-26T17:26:00.000000Z,2019-07-26T18:18:00.000000Z,high,
99,ILL12,EHZ,2019-07-26T17:33:00.000000Z,2019-07-26T18:32:00.000000Z,high,
100,ILL13,EHZ,2019-07-26T17:35:00.000000Z,2019-07-26T18:41:00.000000Z,high,
101,ILL11,HHZ,2019-07-26T17:44:00.000000Z,2019-07-26T18:36:00.000000Z,high,
102,ILL11,HHZ,2019-07-26T19:08:20.000000Z,2019-07-26T19:10:00.000000Z,low,Post debris-flow detection
103,ILL14,EHZ,2019-08-11T16:43:00.000000Z,2019-08-11T17:56:00.000000Z,high,
104,ILL17,EHZ,2019-08-11T16:44:00.000000Z,2019-08-11T18:03:00.000000Z,high,
105,ILL18,EHZ,2019-08-11T16:47:00.000000Z,2019-08-11T17:28:00.000000Z,high,
106,ILL15,EHZ,2019-08-11T16:54:00.000000Z,2019-08-11T18:05:00.000000Z,high,
107,ILL16,EHZ,2019-08-11T16:54:00.000000Z,2019-08-11T17:58:00.000000Z,high,
108,ILL12,EHZ,2019-08-11T16:54:00.000000Z,2019-08-11T17:45:00.000000Z,high,
109,ILL13,EHZ,2019-08-11T16:59:00.000000Z,2019-08-11T18:13:00.000000Z,high,
110,ILL11,HHZ,2019-08-11T17:05:00.000000Z,2019-08-11T18:15:00.000000Z,high,
111,ILL18,EHZ,2019-08-20T02:04:00.000000Z,2019-08-20T02:24:00.000000Z,med,Small debris flow / discharge
112,ILL17,EHZ,2019-08-20T02:04:00.000000Z,2019-08-20T02:14:00.000000Z,med,Small debris flow / discharge
113,ILL12,EHZ,2019-08-20T02:24:00.000000Z,2019-08-20T03:14:20.000000Z,med,Small debris flow / discharge
114,ILL11,HHZ,2019-08-20T03:15:00.000000Z,2019-08-20T03:43:20.000000Z,med,Small debris flow / discharge
115,ILL16,EHZ,2019-08-20T16:26:00.000000Z,2019-08-20T17:33:00.000000Z,low,
116,ILL17,EHZ,2019-08-20T16:27:00.000000Z,2019-08-20T17:39:00.000000Z,high,
117,ILL14,EHZ,2019-08-20T16:27:00.000000Z,2019-08-20T17:39:00.000000Z,high,
118,ILL15,EHZ,2019-08-20T16:31:00.000000Z,2019-08-20T17:39:00.000000Z,high,
119,ILL18,EHZ,2019-08-20T16:33:00.000000Z,2019-08-20T17:23:00.000000Z,high,
120,ILL13,EHZ,2019-08-20T16:39:00.000000Z,2019-08-20T17:40:00.000000Z,high,
121,ILL12,EHZ,2019-08-20T16:41:00.000000Z,2019-08-20T17:24:00.000000Z,high,
122,ILL11,HHZ,2019-08-20T16:53:00.000000Z,2019-08-20T17:49:00.000000Z,high,
123,ILL11,HHZ,2019-08-20T17:55:00.000000Z,2019-08-20T17:56:40.000000Z,low,Post debris-flow detection
124,ILL11,HHZ,2019-10-06T21:53:40.000000Z,2019-10-07T02:00:00.000000Z,low,"This is the beginning of a torrential event. Very faint signal at first, but growing stronger over the following hour. Not sure if debris flow or just a flood, so I would attach a confidence score of something like 0.3 (from 0.1 to 1.0)"
125,ILL12,EHZ,2019-10-06T21:53:40.000000Z,2019-10-07T01:00:00.000000Z,low,"See above,something also visible at ILL12, I made the end time a bit shorter. FK."
126,ILL13,EHZ,2019-10-06T21:53:40.000000Z,2019-10-07T01:00:00.000000Z,low,"See above,something also visible at ILL13, but the amplitude is small compared to ILL11,12. FK."
127,ILL16,EHZ,2019-10-09T11:26:57.000000Z,2019-10-09T11:49:27.000000Z,low,I see some activity on ILL16 as well. FK
128,ILL17,EHZ,2019-10-09T11:36:22.000000Z,2019-10-09T11:50:00.000000Z,high,
129,ILL11,EHZ,2019-10-09T12:09:10.000000Z,2019-10-09T13:12:30.000000Z,high,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
130,ILL12,EHZ,2019-10-09T12:09:10.000000Z,2019-10-09T13:12:30.000000Z,high,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
131,ILL13,EHZ,2019-10-09T12:09:10.000000Z,2019-10-09T13:12:30.000000Z,high,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
132,ILL14,EHZ,2019-10-15T15:48:00.000000Z,2019-10-15T16:58:00.000000Z,med,
133,ILL15,EHZ,2019-10-15T15:49:00.000000Z,2019-10-15T16:32:00.000000Z,low,
134,ILL17,EHZ,2019-10-15T15:50:00.000000Z,2019-10-15T16:30:00.000000Z,med,
135,ILL16,EHZ,2019-10-15T15:50:00.000000Z,2019-10-15T16:20:00.000000Z,med,
136,ILL12,EHZ,2019-10-15T16:11:00.000000Z,2019-10-15T17:05:00.000000Z,high,
137,ILL13,EHZ,2019-10-15T16:23:00.000000Z,2019-10-15T17:12:00.000000Z,high,
138,ILL11,HHZ,2019-10-15T16:30:00.000000Z,2019-10-15T17:53:00.000000Z,high,
139,ILL18,EHZ,2020-02-11T05:09:36.000000Z,2020-02-11T05:32:56.000000Z,low,"Could be very weak signals of catchment activity. Bus since no other station was operational, extremely unclear."
140,ILL18,EHZ,2020-02-27T18:50:40.000000Z,2020-02-27T20:24:33.000000Z,low,"Could be a debris flow like signal, but untypical (winter). Only ILL18 was running, so highly uncertain."
141,ILL18,EHZ,2020-04-28T16:35:00.000000Z,2020-04-28T19:22:00.000000Z,med,
142,ILL18,EHZ,2020-05-01T15:36:40.000000Z,2020-05-01T16:15:00.000000Z,low,slope activity
143,ILL18,EHZ,2020-05-02T18:56:40.000000Z,2020-05-02T19:16:40.000000Z,low,slope activity
144,ILL18,EHZ,2020-05-10T02:01:00.000000Z,2020-05-10T05:16:00.000000Z,high,
145,ILL16,EHZ,2020-06-04T14:51:00.000000Z,2020-06-04T17:05:00.000000Z,high,
146,ILL17,EHZ,2020-06-04T14:52:00.000000Z,2020-06-04T17:04:00.000000Z,high,
147,ILL14,EHZ,2020-06-04T14:58:00.000000Z,2020-06-04T17:09:00.000000Z,high,
148,ILL18,EHZ,2020-06-04T15:02:00.000000Z,2020-06-04T17:04:00.000000Z,high,
149,ILL12,EHZ,2020-06-04T15:09:00.000000Z,2020-06-04T17:11:00.000000Z,high,
150,ILL15,EHZ,2020-06-04T15:10:00.000000Z,2020-06-04T17:09:00.000000Z,high,
151,ILL13,EHZ,2020-06-04T15:13:00.000000Z,2020-06-04T17:12:00.000000Z,high,
152,ILL11,HHZ,2020-06-04T15:27:00.000000Z,2020-06-04T17:23:00.000000Z,high,
153,ILL18,EHZ,2020-06-07T07:10:03.000000Z,2020-06-07T09:45:43.000000Z,high,
154,ILL16,EHZ,2020-06-07T07:15:20.000000Z,2020-06-07T09:45:10.000000Z,high,
155,ILL17,EHZ,2020-06-07T07:15:20.000000Z,2020-06-07T09:45:10.000000Z,high,
156,ILL12,EHZ,2020-06-07T07:59:10.000000Z,2020-06-07T08:47:30.000000Z,high,
157,ILL13,EHZ,2020-06-07T08:11:44.000000Z,2020-06-07T09:37:34.000000Z,high,
158,ILL11,EHZ,2020-06-07T09:00:44.000000Z,2020-06-07T09:58:14.000000Z,high,
159,ILL17,EHZ,2020-06-08T13:33:00.000000Z,2020-06-08T14:36:00.000000Z,med,
160,ILL16,EHZ,2020-06-08T13:35:00.000000Z,2020-06-08T14:10:00.000000Z,low,
161,ILL18,EHZ,2020-06-08T13:37:00.000000Z,2020-06-08T14:24:00.000000Z,high,
162,ILL14,EHZ,2020-06-08T13:47:00.000000Z,2020-06-08T14:40:00.000000Z,low,
163,ILL12,EHZ,2020-06-08T14:05:00.000000Z,2020-06-08T14:35:00.000000Z,high,
164,ILL13,EHZ,2020-06-08T14:50:00.000000Z,2020-06-08T15:15:00.000000Z,high,
165,ILL11,HHZ,2020-06-08T15:43:00.000000Z,2020-06-08T16:01:00.000000Z,high,
166,ILL17,EHZ,2020-06-08T16:23:00.000000Z,2020-06-08T17:43:00.000000Z,low,
167,ILL16,EHZ,2020-06-08T16:26:00.000000Z,2020-06-08T17:33:00.000000Z,low,
168,ILL15,EHZ,2020-06-08T16:32:00.000000Z,2020-06-08T17:35:00.000000Z,low,
169,ILL14,EHZ,2020-06-08T16:32:00.000000Z,2020-06-08T17:35:00.000000Z,med,
170,ILL18,EHZ,2020-06-08T16:36:00.000000Z,2020-06-08T17:33:00.000000Z,high,
