station,channel,start,stop,confidence,Notes
ILL17,EHZ,2019-07-26 17:26:00+00:00,2019-07-26 18:18:00+00:00,1,
ILL18,EHZ,2019-07-26 17:25:00+00:00,2019-07-26 18:10:00+00:00,1,
ILL11,HHZ,2019-07-26 19:08:20+00:00,2019-07-26 19:10:00+00:00,0.1,"Post debris-flow detection"
ILL11,HHZ,2019-08-11 17:05:00+00:00,2019-08-11 18:15:00+00:00,1,
ILL12,EHZ,2019-08-11 16:54:00+00:00,2019-08-11 17:45:00+00:00,1,
ILL13,EHZ,2019-08-11 16:59:00+00:00,2019-08-11 18:13:00+00:00,1,
ILL14,EHZ,2019-08-11 16:43:00+00:00,2019-08-11 17:56:00+00:00,1,
ILL15,EHZ,2019-08-11 16:54:00+00:00,2019-08-11 18:05:00+00:00,1,
ILL16,EHZ,2019-08-11 16:54:00+00:00,2019-08-11 17:58:00+00:00,1,
ILL17,EHZ,2019-08-11 16:44:00+00:00,2019-08-11 18:03:00+00:00,1,
ILL18,EHZ,2019-08-11 16:47:00+00:00,2019-08-11 17:28:00+00:00,1,
ILL11,HHZ,2019-08-20 16:53:00+00:00,2019-08-20 17:49:00+00:00,1,
ILL12,EHZ,2019-08-20 16:41:00+00:00,2019-08-20 17:24:00+00:00,1,
ILL13,EHZ,2019-08-20 16:39:00+00:00,2019-08-20 17:40:00+00:00,1,
ILL14,EHZ,2019-08-20 16:27:00+00:00,2019-08-20 17:39:00+00:00,1,
ILL15,EHZ,2019-08-20 16:31:00+00:00,2019-08-20 17:39:00+00:00,1,
ILL16,EHZ,2019-08-20 16:26:00+00:00,2019-08-20 17:33:00+00:00,0.1,
ILL17,EHZ,2019-08-20 16:27:00+00:00,2019-08-20 17:39:00+00:00,1,
ILL18,EHZ,2019-08-20 16:33:00+00:00,2019-08-20 17:23:00+00:00,1,
ILL11,HHZ,2019-08-20 17:55:00+00:00,2019-08-20 17:56:40+00:00,0.1,"Post debris-flow detection"
ILL11,HHZ,2019-10-06 21:53:40+00:00,2019-10-07 02:00:00+00:00,0.1,"This is the beginning of a torrential event. Very faint signal at first, but growing stronger over the following hour. Not sure if debris flow or just a flood, so I would attach a confidence score of something like 0.3 (from 0.1 to 1.0)"
ILL12,EHZ,2019-10-06 21:53:40+00:00,2019-10-07 01:00:00+00:00,0.1,"See above,something also visible at ILL12, I made the end time a bit shorter. FK."
ILL13,EHZ,2019-10-06 21:53:40+00:00,2019-10-07 01:00:00+00:00,0.1,"See above,something also visible at ILL13, but the amplitude is small compared to ILL11,12. FK."
ILL11,EHZ,2019-10-09 12:09:10+00:00,2019-10-09 13:12:30+00:00,1,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
ILL12,EHZ,2019-10-09 12:09:10+00:00,2019-10-09 13:12:30+00:00,1,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
ILL13,EHZ,2019-10-09 12:09:10+00:00,2019-10-09 13:12:30+00:00,1,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
ILL11,HHZ,2019-10-15 16:30:00+00:00,2019-10-15 17:53:00+00:00,1,
ILL12,EHZ,2019-10-15 16:11:00+00:00,2019-10-15 17:05:00+00:00,1,
ILL13,EHZ,2019-10-15 16:23:00+00:00,2019-10-15 17:12:00+00:00,1,
ILL14,EHZ,2019-10-15 15:48:00+00:00,2019-10-15 16:58:00+00:00,0.5,
ILL15,EHZ,2019-10-15 15:49:00+00:00,2019-10-15 16:32:00+00:00,0.1,
ILL16,EHZ,2019-10-15 15:50:00+00:00,2019-10-15 16:20:00+00:00,0.5,
ILL17,EHZ,2019-10-15 15:50:00+00:00,2019-10-15 16:30:00+00:00,0.5,
ILL18,EHZ,2020-02-11 05:09:36+00:00,2020-02-11 05:32:56+00:00,0.1,"Could be very weak signals of catchment activity. Bus since no other station was operational, extremely unclear."
ILL18,EHZ,2020-02-27 18:50:40+00:00,2020-02-27 20:24:33+00:00,0.1,"Could be a debris flow like signal, but untypical (winter). Only ILL18 was running, so highly uncertain."
ILL18,EHZ,2020-04-28 16:35:00+00:00,2020-04-28 19:22:00+00:00,0.5,
ILL18,EHZ,2020-05-01 15:36:40+00:00,2020-05-01 16:15:00+00:00,0.1,"slope activity"
ILL18,EHZ,2020-05-02 18:56:40+00:00,2020-05-02 19:16:40+00:00,0.1,"slope activity"
ILL18,EHZ,2020-05-10 02:01:00+00:00,2020-05-10 05:16:00+00:00,1,
ILL11,HHZ,2020-06-04 15:27:00+00:00,2020-06-04 17:23:00+00:00,1,
ILL12,EHZ,2020-06-04 15:09:00+00:00,2020-06-04 17:11:00+00:00,1,
ILL13,EHZ,2020-06-04 15:13:00+00:00,2020-06-04 17:12:00+00:00,1,
ILL14,EHZ,2020-06-04 14:58:00+00:00,2020-06-04 17:09:00+00:00,1,
ILL15,EHZ,2020-06-04 15:10:00+00:00,2020-06-04 17:09:00+00:00,1,
ILL16,EHZ,2020-06-04 14:51:00+00:00,2020-06-04 17:05:00+00:00,1,
ILL17,EHZ,2020-06-04 14:52:00+00:00,2020-06-04 17:04:00+00:00,1,
ILL18,EHZ,2020-06-04 15:02:00+00:00,2020-06-04 17:04:00+00:00,1,
ILL11,EHZ,2020-06-07 09:00:44+00:00,2020-06-07 09:58:14+00:00,1,
ILL12,EHZ,2020-06-07 07:59:10+00:00,2020-06-07 08:47:30+00:00,1,
ILL13,EHZ,2020-06-07 08:11:44+00:00,2020-06-07 09:37:34+00:00,1,
ILL16,EHZ,2020-06-07 07:15:20+00:00,2020-06-07 09:45:10+00:00,1,
ILL17,EHZ,2020-06-07 07:15:20+00:00,2020-06-07 09:45:10+00:00,1,
ILL18,EHZ,2020-06-07 07:10:03+00:00,2020-06-07 09:45:43+00:00,1,
ILL11,HHZ,2020-06-08 15:43:00+00:00,2020-06-08 16:01:00+00:00,1,
ILL12,EHZ,2020-06-08 14:05:00+00:00,2020-06-08 14:35:00+00:00,1,
ILL13,EHZ,2020-06-08 14:50:00+00:00,2020-06-08 15:15:00+00:00,1,
ILL14,EHZ,2020-06-08 13:47:00+00:00,2020-06-08 14:40:00+00:00,0.1,
ILL16,EHZ,2020-06-08 13:35:00+00:00,2020-06-08 14:10:00+00:00,0.1,
ILL17,EHZ,2020-06-08 13:33:00+00:00,2020-06-08 14:36:00+00:00,0.5,
ILL18,EHZ,2020-06-08 13:37:00+00:00,2020-06-08 14:24:00+00:00,1,
ILL11,HHZ,2020-06-08 17:20:50+00:00,2020-06-08 17:38:20+00:00,0.1,"Pre debris-flow detection"
ILL11,HHZ,2020-06-08 17:44:20+00:00,2020-06-08 18:47:20+00:00,1,
ILL12,EHZ,2020-06-08 16:53:00+00:00,2020-06-08 17:40:00+00:00,1,
ILL13,EHZ,2020-06-08 17:17:00+00:00,2020-06-08 18:45:00+00:00,1,
ILL14,EHZ,2020-06-08 16:32:00+00:00,2020-06-08 17:35:00+00:00,0.5,
ILL15,EHZ,2020-06-08 16:32:00+00:00,2020-06-08 17:35:00+00:00,0.1,
ILL16,EHZ,2020-06-08 16:26:00+00:00,2020-06-08 17:33:00+00:00,0.1,
ILL17,EHZ,2020-06-08 16:23:00+00:00,2020-06-08 17:43:00+00:00,0.1,
ILL18,EHZ,2020-06-08 16:36:00+00:00,2020-06-08 17:33:00+00:00,1,
ILL18,EHZ,2020-06-10 20:10:35+00:00,2020-06-10 20:59:50+00:00,0.1,"Could be rockfall signals,but not a debris flow"
ILL12,EHZ,2020-06-16 22:55:00+00:00,2020-06-17 00:09:02+00:00,0.1,"Pre debris flow detection to the flow in the morning of 2020-06-17. This event and the following main event seem to have come down from Sagenschleif."
ILL11,EHZ,2020-06-17 00:58:43+00:00,2020-06-17 01:17:03+00:00,0.1,"There is a very weak signal. I would not have picked it as a torrential event, but since there is a nice debris flow signal starting at around 3:00, this is likely real. However, it is so weak that I would classify it as 0.1 or 0.5."
ILL17,EHZ,2020-06-17 01:05:19+00:00,2020-06-17 01:11:59+00:00,0.1,"This looks like a slope failure in the upper catchment"
ILL18,EHZ,2020-06-17 01:05:53+00:00,2020-06-17 01:20:03+00:00,0.5,"Nothing on ILL11,ILL13"
ILL12,EHZ,2020-06-17 01:48:22+00:00,2020-06-17 02:41:42+00:00,0.5,
ILL11,HHZ,2020-06-17 03:45:00+00:00,2020-06-17 06:11:00+00:00,1,
ILL12,EHZ,2020-06-17 03:18:00+00:00,2020-06-17 05:34:00+00:00,1,
ILL13,EHZ,2020-06-17 03:40:00+00:00,2020-06-17 07:00:00+00:00,1,
ILL14,EHZ,2020-06-17 02:58:00+00:00,2020-06-17 07:00:00+00:00,0.1,
ILL15,EHZ,2020-06-17 02:53:00+00:00,2020-06-17 06:59:00+00:00,0.1,
ILL16,EHZ,2020-06-17 02:52:00+00:00,2020-06-17 06:53:00+00:00,0.1,
ILL17,EHZ,2020-06-17 02:55:00+00:00,2020-06-17 06:28:00+00:00,0.1,
ILL18,EHZ,2020-06-17 02:59:00+00:00,2020-06-17 06:16:00+00:00,0.1,
ILL14,EHZ,2020-06-17 18:13:39+00:00,2020-06-17 18:16:59+00:00,0.1,"This is a ca 2 minute long signal of a mass movement, likely on the Southern Illgraben canyon wall as it is best recorded on ILL14"
ILL14,EHZ,2020-06-21 07:21:09+00:00,2020-06-21 07:25:19+00:00,0.1,"This is a ca 2 minute long signal of a mass movement, likely on the Southern Illgraben canyon wall as it is best recorded on ILL14."
ILL11,HHZ,2020-06-29 05:14:00+00:00,2020-06-29 06:13:00+00:00,1,
ILL12,EHZ,2020-06-29 04:55:00+00:00,2020-06-29 05:30:00+00:00,1,
ILL13,EHZ,2020-06-29 05:13:00+00:00,2020-06-29 06:08:00+00:00,1,
ILL14,EHZ,2020-06-29 04:30:00+00:00,2020-06-29 05:31:00+00:00,1,
ILL15,EHZ,2020-06-29 04:30:00+00:00,2020-06-29 05:32:00+00:00,1,
ILL16,EHZ,2020-06-29 04:28:00+00:00,2020-06-29 05:26:00+00:00,1,
ILL17,EHZ,2020-06-29 04:29:00+00:00,2020-06-29 05:28:00+00:00,1,
ILL18,EHZ,2020-06-29 04:30:00+00:00,2020-06-29 05:28:00+00:00,1,
ILL12,EHZ,2020-07-28 16:50:13+00:00,2020-07-28 18:20:23+00:00,1,"Stopped before ILL11"
ILL13,EHZ,2020-07-28 16:50:13+00:00,2020-07-28 18:20:23+00:00,1,
ILL16,EHZ,2020-07-28 16:30:51+00:00,2020-07-28 16:59:11+00:00,1,
ILL17,EHZ,2020-07-28 16:30:50+00:00,2020-07-28 17:00:00+00:00,1,
ILL18,EHZ,2020-07-28 16:32:30+00:00,2020-07-28 17:23:20+00:00,1,
ILL11,HHZ,2020-08-16 22:02:00+00:00,2020-08-16 23:56:00+00:00,1,
ILL12,EHZ,2020-08-16 21:29:00+00:00,2020-08-16 22:32:00+00:00,1,
ILL13,EHZ,2020-08-16 21:37:00+00:00,2020-08-16 23:10:00+00:00,1,
ILL14,EHZ,2020-08-16 20:34:00+00:00,2020-08-16 21:50:00+00:00,1,
ILL15,EHZ,2020-08-16 21:06:00+00:00,2020-08-16 21:49:00+00:00,1,
ILL16,EHZ,2020-08-16 21:05:00+00:00,2020-08-16 21:36:00+00:00,1,
ILL17,EHZ,2020-08-16 21:09:00+00:00,2020-08-16 21:48:00+00:00,1,
ILL18,EHZ,2020-08-16 21:07:00+00:00,2020-08-16 21:52:00+00:00,1,
ILL11,HHZ,2020-08-30 05:44:00+00:00,2020-08-30 07:23:00+00:00,1,
ILL12,EHZ,2020-08-30 05:18:00+00:00,2020-08-30 07:07:00+00:00,1,
ILL13,EHZ,2020-08-30 05:30:00+00:00,2020-08-30 07:25:00+00:00,1,
ILL14,EHZ,2020-08-30 05:18:00+00:00,2020-08-30 06:50:00+00:00,0.1,
ILL15,EHZ,2020-08-30 04:49:00+00:00,2020-08-30 07:02:00+00:00,0.1,
ILL16,EHZ,2020-08-30 04:56:00+00:00,2020-08-30 06:56:00+00:00,0.1,
ILL17,EHZ,2020-08-30 04:46:00+00:00,2020-08-30 06:49:00+00:00,0.5,
ILL18,EHZ,2020-08-30 04:48:00+00:00,2020-08-30 07:00:00+00:00,0.5,
ILL11,HHZ,2020-08-30 08:00:00+00:00,2020-08-30 08:52:00+00:00,1,
ILL12,EHZ,2020-08-30 07:48:00+00:00,2020-08-30 08:39:00+00:00,1,
ILL13,EHZ,2020-08-30 07:53:00+00:00,2020-08-30 09:01:00+00:00,1,
ILL14,EHZ,2020-08-30 07:35:00+00:00,2020-08-30 08:59:00+00:00,1,
ILL15,EHZ,2020-08-30 07:29:00+00:00,2020-08-30 09:05:00+00:00,1,
ILL16,EHZ,2020-08-30 07:26:00+00:00,2020-08-30 08:48:00+00:00,1,
ILL17,EHZ,2020-08-30 07:02:00+00:00,2020-08-30 10:00:00+00:00,1,
ILL18,EHZ,2020-08-30 07:25:00+00:00,2020-08-30 08:37:00+00:00,1,
ILL17,EHZ,2020-08-30 10:06:34+07:00,2020-08-30 10:21:34+07:00,0.1, "This is torrential activity associated with the previous debris flow."
ILL16,EHZ,2020-09-01 00:00:02+00:00,2020-09-01 00:16:42+00:00,0.1,"slope activity"
ILL11,HHZ,2021-05-11 04:02:00+00:00,2021-05-11 14:07:00+00:00,0.5,
ILL11,HHZ,2021-05-11 14:09:00+00:00,2021-05-11 16:40:00+00:00,1,
ILL13,EHZ,2021-05-11 03:25:00+00:00,2021-05-11 13:52:00+00:00,0.5,
ILL13,EHZ,2021-05-11 14:09:00+00:00,2021-05-11 16:38:00+00:00,1,
ILL18,EHZ,2021-05-11 13:52:00+00:00,2021-05-11 16:58:00+00:00,1,
ILL11,HHZ,2021-05-12 03:58:00+00:00,2021-05-12 09:38:00+00:00,0.1,
ILL13,EHZ,2021-05-12 02:59:00+00:00,2021-05-12 09:34:00+00:00,0.1,
ILL11,HHZ,2021-05-16 16:21:00+00:00,2021-05-16 20:30:00+00:00,1,
ILL13,EHZ,2021-05-16 16:15:00+00:00,2021-05-16 20:10:00+00:00,1,
ILL18,EHZ,2021-05-16 15:46:00+00:00,2021-05-16 20:36:00+00:00,1,
ILL11,HHZ,2021-05-21 23:11:00+00:00,2021-05-22 00:25:00+00:00,1,
ILL13,EHZ,2021-05-21 22:49:00+00:00,2021-05-22 00:28:00+00:00,1,
ILL14,EHZ,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,1,
ILL17,EHZ,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,1,
ILL18,EHZ,2021-05-21 22:43:00+00:00,2021-05-22 00:20:00+00:00,1,
ILL14,EHZ,2021-05-23 00:07:57+00:00,2021-05-23 00:12:57+00:00,0.1,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
ILL14,EHZ,2021-05-23 00:17:57+00:00,2021-05-23 00:21:17+00:00,0.1,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
ILL14,EHZ,2021-05-23 01:04:37+00:00,2021-05-23 01:11:17+00:00,0.1,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
ILL18,EHZ,2021-05-28 09:09:39+00:00,2021-05-28 10:01:18+00:00,0.1,"Possibly activity in the upper catchment, no debris flow made it to the Rhone Vally."
ILL18,EHZ,2021-06-02 06:54:49+00:00,2021-06-02 07:35:36+00:00,0.1,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
ILL17,EHZ,2021-06-04 22:19:08+00:00,2021-06-04 23:01:38+00:00,0.1,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
ILL18,EHZ,2021-06-04 22:41:50+00:00,2021-06-04 23:05:10+00:00,0.1,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
ILL11,HHZ,2021-06-05 09:39:00+00:00,2021-06-05 11:52:00+00:00,1,
ILL13,EHZ,2021-06-05 09:32:00+00:00,2021-06-05 11:48:00+00:00,1,
ILL14,EHZ,2021-06-05 07:37:00+00:00,2021-06-05 10:17:00+00:00,1,
ILL17,EHZ,2021-06-05 08:17:00+00:00,2021-06-05 10:45:00+00:00,1,
ILL18,EHZ,2021-06-05 08:15:00+00:00,2021-06-05 11:22:00+00:00,1,
ILL17,EHZ,2021-06-08 15:53:18+00:00,2021-06-08 16:02:28+00:00,0.1,"Possibly activity in the upper catchment, no debris flow made it to the Rhone Vally."
ILL16,EHZ,2021-06-22 16:06:51+00:00,2021-06-22 16:15:11+00:00,0.1,"Likely activity in the upper catchment, but debris flow made it to the Rhone Vally only hours later."
ILL17,EHZ,2021-06-22 16:08:18+00:00,2021-06-22 16:19:58+00:00,0.1,"Likely activity in the upper catchment, but debris flow made it to the Rhone Vally only hours later."
ILL11,HHZ,2021-06-22 20:07:21+00:00,2021-06-22 21:39:51+00:00,1."Not in WSL Observatory."
ILL12,EHZ,2021-06-22 19:55:17+00:00,2021-06-22 20:46:07+00:00,1,"Not in WSL Observatory."
ILL13,EHZ,2021-06-22 20:01:26+00:00,2021-06-22 21:09:46+00:00,1,"Not in WSL Observatory."
ILL14,EHZ,2021-06-22 19:40:00+00:00,2021-06-22 20:23:00+00:00,1,"Not in WSL Observatory."
ILL15,EHZ,2021-06-22 19:40:00+00:00,2021-06-22 20:23:00+00:00,1,"Not in WSL Observatory."
ILL16,EHZ,2021-06-22 19:41:00+00:00,2021-06-22 20:16:01+00:00,1,"Not in WSL Observatory."
ILL17,EHZ,2021-06-22 19:40:00+00:00,2021-06-22 20:23:00+00:00,1,"Not in WSL Observatory."
ILL18,EHZ,2021-06-22 19:42:52+00:00,2021-06-22 20:17:52+00:00,1,"Not in WSL Observatory."
ILL18,EHZ,2021-06-24 14:09:32+00:00,2021-06-24 14:33:42+00:00,0.1,"This seems to be a small debris flow or other precursory activity before a big debris flow around 15:15."
