station,start,stop,confidence
ILL12,2019-06-10 21:59:00+00:00,2019-06-10 23:22:00+00:00,high
ILL12,2019-06-21 19:31:00+00:00,2019-06-21 20:36:00+00:00,high
ILL12,2019-07-01 06:56:00+00:00,2019-07-01 10:04:00+00:00,quarrywork
ILL12,2019-07-01 10:51:00+00:00,2019-07-01 14:48:00+00:00,quarrywork
ILL12,2019-07-01 17:33:00+00:00,2019-07-01 17:33:00+00:00,earthquake
ILL12,2019-07-01 23:10:00+00:00,2019-07-02 00:19:00+00:00,high
ILL12,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
ILL12,2019-07-02 04:40:00+00:00,2019-07-02 09:57:00+00:00,quarrywork
ILL12,2019-07-02 05:33:00+00:00,2019-07-02 10:01:00+00:00,quarrywork
ILL12,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
ILL12,2019-07-02 10:32:00+00:00,2019-07-02 14:41:00+00:00,quarrywork
ILL12,2019-07-02 10:54:00+00:00,2019-07-02 14:39:00+00:00,quarrywork
ILL12,2019-07-02 22:10:00+00:00,2019-07-02 22:40:00+00:00,high
ILL12,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
ILL12,2019-07-15 03:40:00+00:00,2019-07-15 04:15:00+00:00,high
ILL12,2019-07-26 17:33:00+00:00,2019-07-26 18:32:00+00:00,high
ILL12,2019-08-11 16:54:00+00:00,2019-08-11 17:45:00+00:00,high
ILL12,2019-08-20 16:41:00+00:00,2019-08-20 17:24:00+00:00,high
ILL12,2020-06-04 15:09:00+00:00,2020-06-04 17:11:00+00:00,high
ILL12,2020-06-08 16:47:00+00:00,2020-06-08 18:17:00+00:00,high
ILL12,2020-06-17 03:18:00+00:00,2020-06-17 05:34:00+00:00,high
ILL12,2020-06-29 04:55:00+00:00,2020-06-29 05:30:00+00:00,high
ILL12,2020-08-16 21:29:00+00:00,2020-08-16 22:32:00+00:00,high
ILL12,2020-08-30 05:18:00+00:00,2020-08-30 07:07:00+00:00,high
ILL12,2020-08-30 07:48:00+00:00,2020-08-30 08:39:00+00:00,high
